time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293235.456241,159,58,255,255,255,255,0,0,255,18,124,154,135,254,98,202,134,42,39,239
1773293235.606637,239,204,255,255,255,255,0,0,255,18,124,154,135,254,98,202,134,42,41,239
1773293235.758388,63,93,255,255,255,255,0,0,255,18,124,154,134,254,98,202,134,42,39,239
1773293235.908166,143,239,255,255,255,255,0,0,255,18,124,154,134,254,98,202,134,42,39,239
1773293236.0565078,223,128,255,255,255,255,0,0,255,18,124,154,133,254,98,202,134,42,39,239
1773293236.2081301,47,17,255,255,255,255,0,0,255,18,124,154,133,254,98,202,134,42,39,239
1773293236.357642,127,162,255,255,255,255,0,0,255,18,124,154,132,254,98,202,134,42,41,239
1773293236.508171,207,52,255,255,255,255,0,0,255,18,124,154,132,254,98,202,134,42,39,239
1773293236.656744,31,197,255,255,255,255,0,0,255,18,124,154,131,254,98,202,134,42,41,239
1773293236.8067179,96,87,4,11,15,247,0,0,255,18,129,152,136,254,150,202,134,42,37,240
1773293236.9583738,191,232,255,255,255,255,0,2,255,18,141,147,136,254,24,203,134,42,37,240
1773293237.108133,15,121,248,240,240,9,0,56,255,18,151,143,134,254,140,203,134,42,39,240
1773293237.25838,95,10,255,0,15,255,0,78,255,18,158,140,133,254,209,203,134,42,39,240
1773293237.406566,175,156,255,254,255,252,0,98,255,18,159,140,133,254,220,203,134,42,39,240
1773293237.55651,255,45,255,255,255,255,0,255,255,18,159,140,132,254,220,203,134,42,39,240
1773293237.708171,79,191,255,254,255,254,0,3,255,18,159,140,132,254,220,203,134,42,39,240
1773293237.8567932,159,80,255,255,255,255,0,10,255,18,160,139,131,254,232,203,134,42,39,240
1773293238.006562,239,225,255,255,255,254,2,25,255,18,165,137,131,254,38,204,134,42,39,240
1773293238.1584482,63,115,255,255,255,255,3,158,255,18,176,133,130,254,160,204,134,42,43,240
1773293238.307405,143,4,255,255,255,255,2,255,255,18,186,129,130,254,6,205,134,42,39,240
1773293238.458262,223,149,255,0,0,0,0,255,255,18,194,125,129,254,100,205,134,42,39,240
1773293238.608047,47,39,255,254,255,253,0,255,255,18,196,125,129,254,114,205,134,42,39,240
1773293238.756693,127,184,255,255,255,255,0,255,255,18,196,125,128,254,114,205,134,42,39,240
1773293238.9068701,207,73,255,255,255,255,0,48,255,18,196,125,128,254,114,205,134,42,39,240
1773293239.056551,31,219,255,255,255,255,0,65,255,18,196,125,127,254,116,205,134,42,39,240
1773293239.2081149,111,108,255,255,255,254,0,95,255,18,200,123,128,254,158,205,134,42,37,240
1773293239.358239,191,254,255,255,255,255,0,255,255,18,211,119,127,254,24,206,134,42,39,240
1773293239.508037,15,143,255,255,255,254,0,255,255,18,220,115,127,254,125,206,134,42,37,240
