time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293143.595558,191,44,255,255,255,255,67,117,255,242,169,116,162,255,4,227,14,0,43,243
1773293143.7472482,15,190,255,255,255,254,67,117,255,242,169,116,161,255,4,227,14,0,45,243
1773293143.897504,95,79,255,255,255,255,67,118,255,242,169,116,161,255,4,227,14,0,43,243
1773293144.045772,175,224,255,255,255,255,67,118,255,242,169,116,160,255,4,227,14,0,43,243
1773293144.19576,255,114,255,255,255,255,66,118,255,242,169,116,160,255,4,227,14,0,43,243
1773293144.3479838,79,3,255,255,255,255,66,116,255,242,169,116,159,255,4,227,14,0,43,243
1773293144.496494,159,148,255,255,255,255,67,116,255,242,169,116,159,255,4,227,14,0,43,243
1773293144.6476228,239,38,255,255,255,255,66,116,255,242,169,116,158,255,4,227,14,0,43,243
1773293144.7972748,63,183,255,1,0,1,65,116,255,242,169,116,158,255,4,227,16,0,41,243
1773293144.947937,143,72,255,1,0,2,64,113,255,242,169,116,157,255,4,227,16,0,43,243
1773293145.097554,223,217,255,255,240,0,65,111,255,242,170,116,157,255,4,227,28,0,43,243
1773293145.24737,47,107,255,255,255,255,64,107,255,242,170,116,156,255,4,227,28,0,43,243
1773293145.397246,127,252,255,255,240,0,65,104,255,242,170,116,156,255,4,227,28,0,43,243
1773293145.547343,207,141,255,254,255,254,63,103,255,242,175,116,155,255,4,227,79,0,43,243
1773293145.697481,31,31,255,255,255,255,61,89,255,242,184,115,155,255,4,227,175,0,43,244
1773293145.847373,111,176,255,255,255,254,42,32,255,242,200,113,154,255,4,227,92,1,43,243
1773293145.997226,191,65,255,1,15,255,0,0,255,242,211,112,154,255,4,227,192,1,47,243
1773293146.147169,15,211,255,0,0,0,0,0,255,242,213,112,152,255,4,227,208,1,47,243
1773293146.295836,95,110,255,0,0,0,11,9,255,242,213,112,152,255,4,227,208,1,47,243
1773293146.445781,175,0,255,0,15,255,32,37,255,242,213,112,151,255,4,227,208,1,47,243
1773293146.5958688,255,145,255,0,0,0,36,43,255,242,214,112,151,255,4,227,224,1,47,243
1773293146.7460322,79,35,255,254,255,254,36,41,255,242,227,110,150,255,4,227,101,2,47,243
1773293146.895846,159,179,255,255,255,254,33,23,255,242,243,109,150,255,4,227,2,3,47,243
