time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293098.386805,47,224,255,0,0,0,4,2,255,18,251,126,51,0,4,227,164,23,41,244
1773293098.535428,127,113,255,255,255,255,3,2,255,18,251,126,51,0,4,227,164,23,41,244
1773293098.685399,207,2,255,255,240,0,2,1,255,18,251,126,50,0,4,227,164,23,41,244
1773293098.835606,31,148,255,255,255,255,2,2,255,18,251,126,50,0,4,227,164,23,41,244
1773293098.986891,111,37,255,255,255,255,2,1,255,18,251,126,49,0,4,227,164,23,41,245
1773293099.1368508,191,183,255,255,255,254,1,1,255,18,251,126,49,0,4,227,164,23,41,244
1773293099.286889,15,72,255,255,255,255,1,1,255,18,251,126,48,0,4,227,164,23,43,244
1773293099.436759,95,217,255,255,255,255,1,1,255,18,251,126,48,0,4,227,164,23,41,244
1773293099.587322,175,107,255,255,255,255,0,0,255,18,251,126,47,0,4,227,164,23,41,244
1773293099.735412,255,252,255,255,255,255,0,2,255,18,251,126,47,0,4,227,164,23,41,245
1773293099.886969,79,142,255,255,255,255,0,1,255,18,251,126,46,0,4,227,164,23,41,244
1773293100.03709,159,31,255,255,255,255,0,1,255,18,251,126,46,0,4,227,164,23,43,244
1773293100.187119,239,177,255,255,255,255,0,1,255,18,251,126,46,0,4,227,164,23,41,244
1773293100.335397,63,66,255,255,255,254,0,0,255,18,251,126,45,0,4,227,164,23,41,244
1773293100.485348,143,211,254,255,255,255,0,0,255,18,251,126,45,0,4,227,164,23,41,244
1773293100.635416,223,100,254,254,255,252,0,0,255,18,250,126,44,0,4,227,153,23,41,244
1773293100.785343,47,246,255,0,0,0,0,3,255,18,242,126,44,0,4,227,68,23,41,245
1773293100.937054,127,135,255,255,255,254,7,7,255,18,228,125,43,0,4,227,181,22,41,245
1773293101.085102,207,24,254,0,15,255,8,14,255,18,218,125,42,0,4,227,80,22,41,244
1773293101.2368279,31,170,255,254,255,254,6,16,255,18,209,125,41,0,4,227,250,21,41,244
1773293101.387039,111,59,255,255,240,0,6,14,255,18,209,125,41,0,4,227,246,21,41,244
1773293101.535357,191,204,255,0,15,255,1,13,255,18,209,125,40,0,4,227,246,21,41,244
1773293101.6853209,15,94,255,1,0,2,0,0,255,18,209,125,40,0,4,227,246,21,41,245
1773293101.8355231,95,239,255,0,0,1,0,0,255,18,208,124,40,0,4,227,234,21,41,245
1773293101.9853609,175,128,255,255,255,255,2,2,255,18,202,124,39,0,4,227,168,21,41,244
1773293102.1356108,255,18,255,255,255,255,22,17,255,18,189,124,39,0,4,227,39,21,41,245
1773293102.286859,79,163,255,255,240,0,38,38,255,18,177,123,38,0,4,227,178,20,41,244
1773293102.437108,159,52,254,255,255,255,36,48,255,18,169,123,37,0,4,227,90,20,41,244
1773293102.587042,224,198,0,0,0,0,32,45,255,18,166,123,37,0,4,227,74,20,41,244
1773293102.735518,63,87,255,255,255,255,29,35,255,18,166,123,36,0,4,227,74,20,41,244
1773293102.885671,143,242,255,255,255,255,0,0,255,18,166,123,36,0,4,227,74,20,41,244
1773293103.0355158,223,132,255,255,255,254,0,0,255,18,166,123,35,0,4,227,74,20,41,244
1773293103.18863,47,22,254,255,240,0,1,0,255,18,162,123,35,0,4,227,32,20,41,245
1773293103.336312,127,167,255,255,255,254,22,5,255,18,150,122,34,0,4,227,164,19,41,244
1773293103.486921,207,56,255,255,255,255,32,29,255,18,137,122,34,0,4,227,30,19,41,244
1773293103.636959,31,201,255,255,255,255,33,46,255,18,128,122,33,0,4,227,192,18,41,245
1773293103.786932,111,90,255,1,0,2,33,47,255,18,126,121,33,0,4,227,174,18,41,244
1773293103.9369972,191,235,255,255,255,255,47,35,255,18,126,121,33,0,4,227,174,18,41,244
1773293104.0874119,15,125,255,255,255,255,12,5,255,18,126,121,32,0,4,227,174,18,43,245
1773293104.2358248,95,14,255,255,255,254,1,0,255,18,126,121,32,0,4,227,174,18,43,245
1773293104.384227,175,160,255,255,255,254,1,0,255,18,124,121,31,0,4,227,154,18,41,245
1773293104.534513,255,48,254,0,0,0,7,5,255,18,113,121,31,0,4,227,45,18,43,245
1773293104.685282,79,194,255,254,255,254,15,25,255,18,99,121,30,0,4,227,154,17,41,244
1773293104.8355,159,83,254,254,255,254,19,43,255,18,89,120,30,0,4,227,52,17,41,244
1773293104.987869,239,228,255,0,0,1,17,41,255,18,86,120,29,0,4,227,22,17,41,245
1773293105.135438,63,118,255,255,255,255,10,25,255,18,86,120,29,0,4,227,22,17,41,244
1773293105.285749,143,7,255,255,255,255,0,0,255,18,86,120,28,0,4,227,22,17,41,244
1773293105.43565,223,152,255,255,255,255,0,0,255,18,86,120,28,0,4,227,22,17,41,245
1773293105.5854669,47,42,255,0,15,255,0,0,255,18,80,120,27,0,4,227,223,16,41,244
1773293105.737202,127,187,255,255,255,255,3,4,255,18,66,120,27,0,4,227,78,16,41,245
1773293105.885822,207,76,255,255,255,255,3,14,255,18,53,119,26,0,4,227,207,15,41,244
1773293106.0355022,31,222,255,253,240,0,7,24,255,18,44,119,26,0,4,227,112,15,41,244
1773293106.1871202,111,111,255,0,0,1,4,21,255,18,43,119,23,0,4,227,102,15,43,244
1773293106.337037,191,1,255,255,255,255,1,4,255,18,43,119,23,0,4,227,102,15,43,244
1773293106.487029,15,146,255,0,15,255,0,0,255,18,43,119,22,0,4,227,102,15,43,243
1773293106.636866,95,35,255,255,255,255,0,0,255,18,42,119,22,0,4,227,94,15,43,244
1773293106.785565,175,181,255,255,255,255,0,0,255,18,30,119,21,0,4,227,216,14,43,243
1773293106.935595,255,70,255,254,255,253,1,5,255,18,15,118,21,0,4,227,73,14,43,244
1773293107.086915,79,216,255,254,255,254,1,13,255,18,5,118,21,0,4,227,226,13,43,243
1773293107.236901,159,105,255,0,0,0,1,11,255,18,4,118,20,0,4,227,220,13,43,243
1773293107.3869388,239,250,255,255,255,255,0,4,255,18,4,118,19,0,4,227,220,13,43,244
1773293107.536112,63,139,255,255,255,255,0,0,255,18,4,118,19,0,4,227,220,13,43,243
